Stock A,Stock B,p-value
RELINFRA.NS,ICICIBANK.NS,0.00011568895856863803
RELINFRA.NS,CEATLTD.NS,0.0005515849842403565
ICICIBANK.NS,RELINFRA.NS,0.0008384801708455976
SBIN.NS,HAL.NS,0.0008750980069326406
HAL.NS,POWERGRID.NS,0.0011992880188835585
POWERGRID.NS,HAL.NS,0.0012573930683859838
RELINFRA.NS,JSWSTEEL.NS,0.001619854430830062
APOLLOHOSP.NS,ULTRACEMCO.NS,0.0019638507053304343
RELINFRA.NS,NH.NS,0.0021232198501321057
SBIN.NS,CGPOWER.NS,0.0023041420598884457
HAL.NS,SBIN.NS,0.0025577415423815872
GRASIM.NS,BEL.NS,0.0029707733197534463
RELINFRA.NS,SBIN.NS,0.003150010504829883
SBIN.NS,ABB.NS,0.003531750682323418
JSWSTEEL.NS,CEATLTD.NS,0.003759219547792599
SBIN.NS,BDL.NS,0.0038485546665966664
APOLLOHOSP.NS,LODHA.NS,0.0038842518868582626
RELINFRA.NS,APOLLOHOSP.NS,0.003951689590673637
BEL.NS,GRASIM.NS,0.003988020265067621
LODHA.NS,APOLLOHOSP.NS,0.00405657874035816
CGPOWER.NS,SBIN.NS,0.00409502261664954
APOLLOHOSP.NS,RELINFRA.NS,0.004197553015588618
APOLLOHOSP.NS,GRASIM.NS,0.004276947414806376
JSWSTEEL.NS,ULTRACEMCO.NS,0.0042879797417727595
SBIN.NS,JINDALSTEL.NS,0.004442222701693874
ULTRACEMCO.NS,APOLLOHOSP.NS,0.004574619546205806
CEATLTD.NS,RELINFRA.NS,0.00482113792238128
SBIN.NS,POWERGRID.NS,0.005043748326081056
ABB.NS,SBIN.NS,0.005434514403619162
MGL.NS,HINDZINC.NS,0.0055725217639166135
MGL.NS,LICHSGFIN.NS,0.005613900424465038
SBILIFE.NS,NTPC.NS,0.005747272104832395
CEATLTD.NS,JSWSTEEL.NS,0.006342413483391583
HINDZINC.NS,MGL.NS,0.0067533724472143624
ULTRACEMCO.NS,JSWSTEEL.NS,0.007361367151091966
BDL.NS,SBIN.NS,0.007462356643479353
LICHSGFIN.NS,GAIL.NS,0.00749541188835373
TATAPOWER.NS,LODHA.NS,0.007809944983879467
GRASIM.NS,APOLLOHOSP.NS,0.00783777255166209
JINDALSTEL.NS,SBIN.NS,0.007915302124793444
GRASIM.NS,POWERGRID.NS,0.007923568168161945
LODHA.NS,GRASIM.NS,0.00802716604078235
LODHA.NS,TATAPOWER.NS,0.008075256703253254
SBIN.NS,RELINFRA.NS,0.008255346267036206
JINDALSTEL.NS,HAL.NS,0.00831001849073069
RELINFRA.NS,GRASIM.NS,0.008436308704240905
POWERGRID.NS,GRASIM.NS,0.008908338244280117
RELIANCE.NS,IOC.NS,0.009066721951322495
LODHA.NS,POWERGRID.NS,0.00907999789935107
HAVELLS.NS,HINDZINC.NS,0.00910809988959065
JSWSTEEL.NS,ICICIBANK.NS,0.009253965897275571
JSWSTEEL.NS,FORTIS.NS,0.010598323780872635
RELINFRA.NS,BDL.NS,0.0109429686223434
JSWSTEEL.NS,RELINFRA.NS,0.011648521092491844
POWERGRID.NS,SBIN.NS,0.011754125097772992
LODHA.NS,NTPC.NS,0.011848788925451336
SBIN.NS,BEL.NS,0.011879739039963038
RELINFRA.NS,JINDALSTEL.NS,0.011963198317054006
GAIL.NS,LICHSGFIN.NS,0.011995690891730252
SBILIFE.NS,GRASIM.NS,0.012333214925007194
HINDZINC.NS,GAIL.NS,0.012526568317896721
LODHA.NS,IOC.NS,0.012597668474866331
HAL.NS,JINDALSTEL.NS,0.012629760627502103
SBILIFE.NS,COALINDIA.NS,0.013098324522293849
ICICIBANK.NS,JSWSTEEL.NS,0.013216884311594583
GRASIM.NS,LODHA.NS,0.013392884487750951
LODHA.NS,GAIL.NS,0.014845554557256528
HDFCBANK.NS,JSWSTEEL.NS,0.015082738200305335
HINDZINC.NS,HAVELLS.NS,0.0157326675781785
IOC.NS,LODHA.NS,0.015870120453695187
HAL.NS,NTPC.NS,0.015895035005352644
RELINFRA.NS,FORTIS.NS,0.016005593664243957
JSWSTEEL.NS,BEL.NS,0.016069409341718886
POWERGRID.NS,BEL.NS,0.01628115055116487
NTPC.NS,HAL.NS,0.01677791399124774
JINDALSTEL.NS,COALINDIA.NS,0.017513468256636733
POWERGRID.NS,LODHA.NS,0.018026661102402614
BEL.NS,POWERGRID.NS,0.01829497918378057
HINDZINC.NS,JINDALSTEL.NS,0.018488694916576686
ICICIBANK.NS,BEL.NS,0.019662763108527555
HINDZINC.NS,NTPC.NS,0.020147048285672854
HDFCBANK.NS,CEATLTD.NS,0.020236074617084453
SBILIFE.NS,HAVELLS.NS,0.02058661564604702
SBILIFE.NS,APOLLOHOSP.NS,0.021214417816776805
RELINFRA.NS,MRF.NS,0.0219340306321336
RELIANCE.NS,TATAPOWER.NS,0.021992103502590152
NTPC.NS,SBILIFE.NS,0.02252095155120471
NTPC.NS,LODHA.NS,0.022645248585293872
CGPOWER.NS,JINDALSTEL.NS,0.023223180390132648
COALINDIA.NS,JINDALSTEL.NS,0.02327185958021183
GAIL.NS,LODHA.NS,0.02336641964290009
SBIN.NS,COALINDIA.NS,0.023509611257117057
NH.NS,RELINFRA.NS,0.02385049088992413
SBILIFE.NS,CEATLTD.NS,0.024215316376293095
JINDALSTEL.NS,CGPOWER.NS,0.024257316081926546
GRASIM.NS,HAL.NS,0.024381826156766987
HAVELLS.NS,SBILIFE.NS,0.024585558852999713
MGL.NS,LODHA.NS,0.02503839876924698
APOLLOHOSP.NS,POWERGRID.NS,0.025451800607803103
HDFCBANK.NS,FORTIS.NS,0.026706075251075788
FORTIS.NS,JSWSTEEL.NS,0.027071077955659266
BEL.NS,ICICIBANK.NS,0.027125376865513043
SBIN.NS,NTPC.NS,0.02744463071645819
HDFCLIFE.NS,ICICIPRULI.NS,0.02746860897486457
MGL.NS,HAL.NS,0.027587111113740487
GAIL.NS,POWERGRID.NS,0.028010304500803145
LT.NS,MRF.NS,0.02918312056112437
IOC.NS,GAIL.NS,0.029235070629278787
LT.NS,CEATLTD.NS,0.029337877786870664
LICHSGFIN.NS,COALINDIA.NS,0.030145439789390396
ABB.NS,JINDALSTEL.NS,0.030309073106117943
MGL.NS,JINDALSTEL.NS,0.030401168929553635
SBILIFE.NS,HAL.NS,0.030768261055269752
HINDZINC.NS,IOC.NS,0.031081668211925925
GAIL.NS,IOC.NS,0.03118077700976309
POWERGRID.NS,BDL.NS,0.031287812537110535
BEL.NS,JSWSTEEL.NS,0.031317332597387816
SBIN.NS,GAIL.NS,0.031369735408289225
LICHSGFIN.NS,JINDALSTEL.NS,0.0315134980501153
BEL.NS,SBIN.NS,0.03172380067620887
LODHA.NS,LICHSGFIN.NS,0.03173224542716521
TCS.NS,LODHA.NS,0.031951334571350916
RELIANCE.NS,AMBUJACEM.NS,0.03200754519327254
JINDALSTEL.NS,ABB.NS,0.03231216776957905
GRASIM.NS,RELINFRA.NS,0.032569209552181566
HAL.NS,GRASIM.NS,0.03267156952679301
POWERGRID.NS,GAIL.NS,0.03270436469655882
APOLLOHOSP.NS,JSWSTEEL.NS,0.032753268059677106
GRASIM.NS,NTPC.NS,0.03305525808049025
ICICIPRULI.NS,HDFCLIFE.NS,0.033680385123886
BAJFINANCE.NS,NH.NS,0.033959063294948466
JSWSTEEL.NS,CGPOWER.NS,0.0343337453520753
SBILIFE.NS,IOC.NS,0.034593941840931335
RELIANCE.NS,MRF.NS,0.0347845103936909
LODHA.NS,BEL.NS,0.03577052234661533
