Price,NTPC.NS : BDL.NS,BEL.NS : BDL.NS,NTPC.NS : HAL.NS,HINDZINC.NS : POWERGRID.NS,TCS.NS : HAVELLS.NS,HINDZINC.NS : MGL.NS,BEL.NS : POWERGRID.NS,COALINDIA.NS : BDL.NS,BPCL.NS : MGL.NS,IOC.NS : GAIL.NS,BDL.NS : HAL.NS,NTPC.NS : HINDZINC.NS,HINDZINC.NS : GAIL.NS,HINDZINC.NS : SBILIFE.NS,AMBUJACEM.NS : HAVELLS.NS,LT.NS : HINDZINC.NS,JINDALSTEL.NS : HINDZINC.NS,BDL.NS : POWERGRID.NS,CEATLTD.NS : HINDZINC.NS,APOLLOHOSP.NS : SBILIFE.NS,APOLLOHOSP.NS : HAVELLS.NS,TATASTEEL.NS : AMBUJACEM.NS,TCS.NS : INFY.NS,APOLLOHOSP.NS : TCS.NS,SBIN.NS : JINDALSTEL.NS,LT.NS : APOLLOTYRE.NS,GRASIM.NS : HAVELLS.NS,JSWSTEEL.NS : APOLLOHOSP.NS,ULTRACEMCO.NS : APOLLOHOSP.NS,APOLLOHOSP.NS : HDFCBANK.NS,CEATLTD.NS : HAL.NS,NTPC.NS : CEATLTD.NS,MRF.NS : HINDZINC.NS,SBIN.NS : TATAPOWER.NS,MGL.NS : POWERGRID.NS,ABB.NS : HINDZINC.NS,NTPC.NS : POWERGRID.NS,COALINDIA.NS : HAL.NS,GRASIM.NS : APOLLOHOSP.NS,IGL.NS : HDFCLIFE.NS,SBIN.NS : VEDL.NS,SBIN.NS : GRASIM.NS,GAIL.NS : LICHSGFIN.NS,IOC.NS : LICHSGFIN.NS,BDL.NS : CEATLTD.NS,IOC.NS : HINDZINC.NS,JINDALSTEL.NS : AMBUJACEM.NS,BAJFINANCE.NS : HDFCBANK.NS,SIEMENS.NS : MGL.NS,VEDL.NS : HINDZINC.NS,HDFCBANK.NS : HAVELLS.NS,HINDZINC.NS : APOLLOTYRE.NS,JSWSTEEL.NS : GRASIM.NS,NTPC.NS : BEL.NS,SBILIFE.NS : HAVELLS.NS,JSWSTEEL.NS : HAVELLS.NS,CGPOWER.NS : HINDZINC.NS,APOLLOHOSP.NS : AMBUJACEM.NS,SBIN.NS : CGPOWER.NS,TATASTEEL.NS : SBIN.NS,CGPOWER.NS : BDL.NS,HAL.NS : MGL.NS,ULTRACEMCO.NS : JINDALSTEL.NS,JSWSTEEL.NS : HDFCBANK.NS,CGPOWER.NS : CEATLTD.NS,ICICIPRULI.NS : INFY.NS,SBIN.NS : AMBUJACEM.NS,ULTRACEMCO.NS : GRASIM.NS,TATAPOWER.NS : HINDZINC.NS,TCS.NS : HDFCBANK.NS,TCS.NS : ICICIPRULI.NS,CGPOWER.NS : JINDALSTEL.NS,ICICIBANK.NS : APOLLOHOSP.NS,TCS.NS : SBILIFE.NS,AMBUJACEM.NS : SBILIFE.NS
2018-04-27,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,SHORT,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD
2018-04-30,EXIT,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,EXIT
2018-05-02,EXIT,HOLD,EXIT,SHORT,HOLD,HOLD,HOLD,EXIT,EXIT,EXIT,HOLD,HOLD,EXIT,HOLD,EXIT,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,EXIT,EXIT,EXIT,SHORT,EXIT,EXIT,LONG,HOLD,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,SHORT,HOLD,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SHORT,EXIT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2018-05-03,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,EXIT,LONG,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,EXIT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,SHORT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,HOLD,LONG,LONG,HOLD,EXIT,HOLD,SHORT,HOLD,HOLD,LONG,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD
2018-05-04,EXIT,HOLD,EXIT,SHORT,HOLD,HOLD,HOLD,SHORT,EXIT,HOLD,EXIT,HOLD,SHORT,EXIT,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,EXIT,EXIT,EXIT,SHORT,SHORT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,EXIT,EXIT,LONG,LONG,HOLD,EXIT,EXIT,SHORT,HOLD,HOLD,LONG,EXIT,HOLD,HOLD,HOLD,EXIT,LONG,HOLD,EXIT,EXIT,EXIT,HOLD,HOLD,SHORT,LONG,HOLD,EXIT,EXIT,HOLD,EXIT,HOLD,HOLD,HOLD,LONG,HOLD
2018-05-07,EXIT,EXIT,HOLD,SHORT,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,SHORT,EXIT,HOLD,LONG,LONG,SHORT,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,SHORT,EXIT,HOLD,EXIT,EXIT,LONG,LONG,HOLD,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,LONG,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,EXIT
2018-05-08,EXIT,EXIT,EXIT,SHORT,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,SHORT,EXIT,SHORT,HOLD,LONG,SHORT,HOLD,HOLD,HOLD,LONG,HOLD,HOLD,EXIT,EXIT,EXIT,HOLD,HOLD,HOLD,SHORT,LONG,EXIT,HOLD,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,EXIT,LONG,LONG,HOLD,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,EXIT,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,LONG,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,HOLD,LONG,HOLD,EXIT
2018-05-09,EXIT,EXIT,EXIT,SHORT,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,SHORT,HOLD,SHORT,HOLD,LONG,SHORT,HOLD,HOLD,SHORT,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,SHORT,LONG,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,LONG,LONG,LONG,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,EXIT,HOLD,LONG,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,LONG,HOLD,EXIT
2018-05-10,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,EXIT,SHORT,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SHORT,SHORT,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,LONG,LONG,LONG,HOLD,HOLD,SHORT,HOLD,HOLD,LONG,EXIT,EXIT,EXIT,EXIT,HOLD,HOLD,LONG,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,LONG,HOLD,LONG,HOLD,HOLD,HOLD,HOLD,HOLD,LONG,HOLD,HOLD
2018-05-11,HOLD,EXIT,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,LONG,EXIT,HOLD,EXIT,LONG,HOLD,HOLD,HOLD,SHORT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,EXIT,HOLD,HOLD,HOLD,HOLD,LONG,SHORT,HOLD,HOLD,HOLD,EXIT,EXIT,HOLD,HOLD,EXIT,HOLD,LONG,HOLD,HOLD,EXIT,HOLD,EXIT,HOLD,HOLD,HOLD,LONG,EXIT,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
