Price,NTPC.NS : BDL.NS,BEL.NS : BDL.NS,NTPC.NS : HAL.NS,HINDZINC.NS : POWERGRID.NS,TCS.NS : HAVELLS.NS,HINDZINC.NS : MGL.NS,BEL.NS : POWERGRID.NS,COALINDIA.NS : BDL.NS,BPCL.NS : MGL.NS,IOC.NS : GAIL.NS,BDL.NS : HAL.NS,NTPC.NS : HINDZINC.NS,HINDZINC.NS : GAIL.NS,HINDZINC.NS : SBILIFE.NS,AMBUJACEM.NS : HAVELLS.NS,LT.NS : HINDZINC.NS,JINDALSTEL.NS : HINDZINC.NS,BDL.NS : POWERGRID.NS,CEATLTD.NS : HINDZINC.NS,APOLLOHOSP.NS : SBILIFE.NS,APOLLOHOSP.NS : HAVELLS.NS,TATASTEEL.NS : AMBUJACEM.NS,TCS.NS : INFY.NS,APOLLOHOSP.NS : TCS.NS,SBIN.NS : JINDALSTEL.NS,LT.NS : APOLLOTYRE.NS,GRASIM.NS : HAVELLS.NS,JSWSTEEL.NS : APOLLOHOSP.NS,ULTRACEMCO.NS : APOLLOHOSP.NS,APOLLOHOSP.NS : HDFCBANK.NS,CEATLTD.NS : HAL.NS,NTPC.NS : CEATLTD.NS,MRF.NS : HINDZINC.NS,SBIN.NS : TATAPOWER.NS,MGL.NS : POWERGRID.NS,ABB.NS : HINDZINC.NS,NTPC.NS : POWERGRID.NS,COALINDIA.NS : HAL.NS,GRASIM.NS : APOLLOHOSP.NS,IGL.NS : HDFCLIFE.NS,SBIN.NS : VEDL.NS,SBIN.NS : GRASIM.NS,GAIL.NS : LICHSGFIN.NS,IOC.NS : LICHSGFIN.NS,BDL.NS : CEATLTD.NS,IOC.NS : HINDZINC.NS,JINDALSTEL.NS : AMBUJACEM.NS,BAJFINANCE.NS : HDFCBANK.NS,SIEMENS.NS : MGL.NS,VEDL.NS : HINDZINC.NS,HDFCBANK.NS : HAVELLS.NS,HINDZINC.NS : APOLLOTYRE.NS,JSWSTEEL.NS : GRASIM.NS,NTPC.NS : BEL.NS,SBILIFE.NS : HAVELLS.NS,JSWSTEEL.NS : HAVELLS.NS,CGPOWER.NS : HINDZINC.NS,APOLLOHOSP.NS : AMBUJACEM.NS,SBIN.NS : CGPOWER.NS,TATASTEEL.NS : SBIN.NS,CGPOWER.NS : BDL.NS,HAL.NS : MGL.NS,ULTRACEMCO.NS : JINDALSTEL.NS,JSWSTEEL.NS : HDFCBANK.NS,CGPOWER.NS : CEATLTD.NS,ICICIPRULI.NS : INFY.NS,SBIN.NS : AMBUJACEM.NS,ULTRACEMCO.NS : GRASIM.NS,TATAPOWER.NS : HINDZINC.NS,TCS.NS : HDFCBANK.NS,TCS.NS : ICICIPRULI.NS,CGPOWER.NS : JINDALSTEL.NS,ICICIBANK.NS : APOLLOHOSP.NS,TCS.NS : SBILIFE.NS,AMBUJACEM.NS : SBILIFE.NS
2018-04-27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2018-04-30,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2018-05-02,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,LONG,NONE,NONE,LONG,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2018-05-03,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,EXIT,NONE,NONE,HOLD,EXIT,NONE,NONE,NONE,NONE,NONE,LONG,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
2018-05-04,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,HOLD,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,HOLD,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LONG,NONE
2018-05-07,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,LONG,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LONG,HOLD,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE
2018-05-08,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,SHORT,HOLD,NONE,NONE,NONE,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,LONG,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,HOLD,LONG,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LONG,HOLD,NONE
2018-05-09,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,SHORT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,LONG,NONE,NONE,HOLD,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE
2018-05-10,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,HOLD,HOLD,HOLD,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,LONG,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,NONE
2018-05-11,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,HOLD,HOLD,HOLD,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,LONG,NONE,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,NONE,HOLD,NONE,HOLD,NONE,NONE,NONE,NONE,HOLD,HOLD,HOLD,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,HOLD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HOLD,HOLD,NONE
