pair,entry_dt,exit_dt,dir,entry_a,entry_b,exit_a,pnl,days_held,exit_b
MRF.NS : HINDZINC.NS,2018-05-02,2018-05-03,LONG,78780.125,144.68106079101562,76224.4140625,-2556.3448944091797,1,
NTPC.NS : POWERGRID.NS,2018-04-27,2018-05-03,SHORT,101.32672882080078,81.16472625732422,103.43338775634766,-2.6727523803710938,6,
LT.NS : APOLLOTYRE.NS,2018-05-11,2018-05-15,LONG,1234.0146484375,247.40179443359375,1222.27392578125,-18.853561401367216,4,
IGL.NS : HDFCLIFE.NS,2018-05-14,2018-05-15,SHORT,130.3941192626953,530.9553833007812,130.34571838378906,-32.890472412109375,1,
HINDZINC.NS : GAIL.NS,2018-05-04,2018-05-16,SHORT,142.5209503173828,81.63898468017578,140.07908630371094,2.6646881103515625,12,
COALINDIA.NS : BDL.NS,2018-05-04,2018-05-17,SHORT,151.4950714111328,170.1100311279297,151.60675048828125,-3.8083038330078125,13,
NTPC.NS : HINDZINC.NS,2018-04-27,2018-05-17,SHORT,101.32672882080078,153.60330200195312,99.16072845458984,-10.912094116210938,20,
SBIN.NS : TATAPOWER.NS,2018-05-14,2018-05-17,LONG,238.69956970214844,70.76168060302734,228.4400177001953,-10.346305847167969,3,
ABB.NS : HINDZINC.NS,2018-05-02,2018-05-17,LONG,1177.7457275390625,144.68106079101562,1076.4969482421875,-97.09292602539062,15,
COALINDIA.NS : HAL.NS,2018-05-04,2018-05-17,SHORT,151.4950714111328,452.9283752441406,151.60675048828125,-22.394638061523438,13,
BAJFINANCE.NS : HDFCBANK.NS,2018-05-02,2018-05-17,SHORT,1866.888916015625,931.4639282226562,2025.0518798828125,-130.61395263671875,15,
LT.NS : HINDZINC.NS,2018-05-02,2018-05-18,LONG,1248.0233154296875,144.68106079101562,1170.108154296875,-73.05488586425781,16,
JINDALSTEL.NS : HINDZINC.NS,2018-05-07,2018-05-18,LONG,253.22962951660156,141.88697814941406,243.0036468505859,-8.159790039062528,11,
JSWSTEEL.NS : APOLLOHOSP.NS,2018-05-14,2018-05-18,LONG,294.96441650390625,999.240478515625,286.3588562011719,-1.7240905761717613,4,
NTPC.NS : BEL.NS,2018-05-15,2018-05-18,LONG,100.94100189208984,34.75911331176758,98.8640365600586,-2.4384384155273438,3,
CGPOWER.NS : HINDZINC.NS,2018-05-04,2018-05-18,LONG,79.84539794921875,142.5209503173828,72.71723175048828,-4.428001403808594,14,
ICICIBANK.NS : APOLLOHOSP.NS,2018-05-08,2018-05-18,LONG,294.53887939453125,1045.995849609375,272.44598388671875,31.543945312500114,10,
APOLLOHOSP.NS : HAVELLS.NS,2018-05-09,2018-05-21,SHORT,1020.5195922851562,524.6679077148438,960.0009765625,32.3861083984375,12,
TCS.NS : HAVELLS.NS,2018-05-18,2018-05-22,LONG,1528.943115234375,495.635498046875,1531.9334716796875,-21.49542236328125,4,
TCS.NS : INFY.NS,2018-05-21,2018-05-22,LONG,1552.8238525390625,493.658447265625,1531.9334716796875,-26.896514892578125,1,
HDFCBANK.NS : HAVELLS.NS,2018-05-02,2018-05-22,LONG,931.4639282226562,514.3905029296875,941.1119995117188,3.91729736328125,20,
APOLLOHOSP.NS : HDFCBANK.NS,2018-05-02,2018-05-23,SHORT,1054.244140625,931.4639282226562,940.9180908203124,112.38024902343761,21,
JINDALSTEL.NS : AMBUJACEM.NS,2018-05-07,2018-05-23,LONG,253.22962951660156,209.5395050048828,223.44081115722656,-5.0716552734375,16,
HINDZINC.NS : APOLLOTYRE.NS,2018-05-16,2018-05-23,SHORT,140.07908630371094,259.8160705566406,133.45787048339844,-10.299301147460938,7,
JSWSTEEL.NS : HDFCBANK.NS,2018-05-02,2018-05-23,SHORT,282.50433349609375,931.4639282226562,277.8878173828125,3.67071533203125,21,
TATASTEEL.NS : AMBUJACEM.NS,2018-05-08,2018-05-24,LONG,22.9705867767334,204.3734130859375,21.11591529846191,12.975620269775359,16,
HINDZINC.NS : POWERGRID.NS,2018-05-02,2018-05-28,SHORT,144.68106079101562,80.09112548828125,136.15798950195312,9.22576904296875,26,
HINDZINC.NS : MGL.NS,2018-05-21,2018-05-28,LONG,135.97010803222656,713.0189819335938,136.15798950195312,4.0417022705078125,7,
BEL.NS : POWERGRID.NS,2018-05-15,2018-05-28,SHORT,34.75911331176758,83.48760986328125,35.74232482910156,-3.6769981384277344,13,
MGL.NS : POWERGRID.NS,2018-05-22,2018-05-28,SHORT,670.5411987304688,82.27735900878906,709.1651611328125,-40.10749816894531,6,
NTPC.NS : POWERGRID.NS,2018-05-17,2018-05-28,SHORT,99.16072845458984,83.33145904541016,99.5167999267578,-2.893707275390611,11,
GAIL.NS : LICHSGFIN.NS,2018-05-03,2018-05-28,LONG,80.00497436523438,442.6129150390625,83.2853775024414,20.116310119628906,25,
IOC.NS : LICHSGFIN.NS,2018-05-03,2018-05-28,LONG,67.37735748291016,442.6129150390625,71.02332305908203,20.48187255859375,25,
HAL.NS : MGL.NS,2018-05-21,2018-05-28,LONG,423.02447509765625,713.0189819335938,431.7223205566406,12.551666259765625,7,
TCS.NS : ICICIPRULI.NS,2018-05-24,2018-05-28,LONG,1573.32177734375,393.6620178222656,1528.943115234375,-65.01022338867188,4,
TCS.NS : SBILIFE.NS,2018-05-04,2018-05-28,LONG,1519.6434326171875,692.2929077148438,1528.943115234375,25.8157958984375,24,
TCS.NS : HAVELLS.NS,2018-05-24,2018-05-29,LONG,1573.32177734375,506.2918090820313,1538.3074951171875,-48.46484374999994,5,
CEATLTD.NS : HAL.NS,2018-05-04,2018-05-29,SHORT,1388.7705078125,452.9283752441406,1277.1915283203125,93.0029296875,25,
NTPC.NS : CEATLTD.NS,2018-05-08,2018-05-29,LONG,101.71246337890624,1373.838134765625,98.47830200195312,93.41244506835939,21,
SIEMENS.NS : MGL.NS,2018-05-21,2018-05-29,LONG,999.3466796875,713.0189819335938,1012.7665405273438,12.9114990234375,8,
IOC.NS : GAIL.NS,2018-05-18,2018-05-30,LONG,68.21073913574219,79.59645080566406,71.1691665649414,-2.3768997192382812,12,
TATAPOWER.NS : HINDZINC.NS,2018-05-29,2018-05-30,LONG,72.45370483398438,135.8527374267578,71.54261779785156,-3.5173187255859375,1,
NTPC.NS : HAL.NS,2018-05-30,2018-05-31,SHORT,98.09258270263672,447.8753662109375,99.42778778076172,-11.379119873046875,1,
